Season,Team,+/-
2004,Dolphins,-23
2005,Raiders,-19
2005,Vikings,-23
2005,Bears,13
2005,Falcons,9
2005,Saints,-31
2005,Chargers,15
2005,Broncos,-1
2005,Lions,-18
2005,Eagles,38
2005,Browns,-19
2005,Steelers,44
2005,Giants,18
2005,Buccaneers,28
2005,Cardinals,-53
2005,Bengals,60
2005,Chiefs,6
2005,Jaguars,11
2005,Seahawks,16
2005,Jets,-16
2005,Ravens,-32
2005,Colts,31
2005,Packers,-17
2005,Dolphins,17
2005,Titans,-16
2005,Rams,6
2005,Bills,-9
2005,Texans,-35
2005,49ers,-39
2005,Patriots,3
2005,Cowboys,6
2005,Panthers,4
2005,Redskins,3
2006,Broncos,5
2006,Vikings,3
2006,Bears,56
2006,Falcons,5
2006,Saints,32
2006,Chargers,60
2006,Raiders,-49
2006,Lions,-37
2006,Eagles,22
2006,Browns,-23
2006,Steelers,-6
2006,Giants,-11
2006,Buccaneers,-40
2006,Cardinals,-6
2006,Bengals,38
2006,Chiefs,-16
2006,Jaguars,9
2006,Seahawks,26
2006,Jets,8
2006,Ravens,50
2006,Colts,31
2006,Packers,-26
2006,Dolphins,-18
2006,Titans,-43
2006,Rams,3
2006,Bills,0
2006,Texans,-49
2006,49ers,-14
2006,Patriots,-1
2006,Cowboys,10
2006,Panthers,-15
2006,Redskins,-4
2007,Broncos,-5
2007,Vikings,15
2007,Bears,-25
2007,Falcons,-34
2007,Saints,-65
2007,Chargers,-20
2007,Raiders,-16
2007,Lions,-17
2007,Browns,-23
2007,Eagles,24
2007,Steelers,71
2007,Giants,-25
2007,Buccaneers,24
2007,Cardinals,-3
2007,Bengals,-2
2007,Chiefs,-24
2007,Jaguars,12
2007,Titans,18
2007,Jets,-28
2007,Ravens,3
2007,Colts,39
2007,Packers,32
2007,Dolphins,-23
2007,Rams,-36
2007,Bills,-55
2007,Texans,24
2007,49ers,-17
2007,Patriots,79
2007,Cowboys,51
2007,Seahawks,14
2007,Panthers,8
2007,Redskins,4
2008,Raiders,-13
2008,Vikings,2
2008,Bears,10
2008,Falcons,22
2008,Saints,-3
2008,Chargers,16
2008,Broncos,30
2008,Lions,-54
2008,Browns,-40
2008,Eagles,40
2008,Steelers,16
2008,Giants,40
2008,Buccaneers,14
2008,Cardinals,24
2008,Bengals,-27
2008,Chiefs,-46
2008,Jaguars,-9
2008,Redskins,3
2008,Jets,-22
2008,Ravens,25
2008,Colts,-15
2008,Packers,17
2008,Dolphins,-2
2008,Titans,43
2008,Rams,-87
2008,Bills,29
2008,Texans,-40
2008,49ers,11
2008,Patriots,-9
2008,Cowboys,33
2008,Seahawks,-3
2008,Panthers,-5
2009,Broncos,46
2009,Vikings,31
2009,Bears,3
2009,Falcons,4
2009,Saints,64
2009,Chargers,9
2009,Raiders,-21
2009,Lions,-27
2009,Browns,-66
2009,Eagles,22
2009,Steelers,-3
2009,Giants,32
2009,Buccaneers,-50
2009,Cardinals,-11
2009,Bengals,5
2009,Chiefs,-37
2009,Jaguars,-9
2009,Redskins,-9
2009,Jets,31
2009,Ravens,50
2009,Colts,27
2009,Packers,18
2009,Dolphins,-26
2009,Titans,-13
2009,Rams,-49
2009,Bills,-8
2009,Texans,-21
2009,49ers,14
2009,Patriots,10
2009,Cowboys,25
2009,Seahawks,9
2009,Panthers,-50
2010,Raiders,-24
2010,Vikings,5
2010,Bears,15
2010,Falcons,31
2010,Saints,5
2010,Chargers,11
2010,Broncos,-4
2010,Lions,-22
2010,Browns,-12
2010,Eagles,21
2010,Steelers,39
2010,Giants,-30
2010,Buccaneers,-9
2010,Cardinals,-29
2010,Bengals,4
2010,Chiefs,30
2010,Dolphins,1
2010,Jaguars,-43
2010,Seahawks,15
2010,Jets,21
2010,Ravens,3
2010,Colts,28
2010,Packers,31
2010,Titans,36
2010,Rams,8
2010,Bills,-40
2010,Texans,-1
2010,49ers,-49
2010,Patriots,8
2010,Cowboys,1
2010,Panthers,-39
2010,Redskins,-11
2011,Broncos,-4
